RowNumber,variable1,variable2,variable3,result
1,418,11,D,29172
2,266,82,B,22968
3,905,46,D,64668
4,629,59,C,46096
5,193,53,B,16236
6,242,93,A,21775
7,640,37,D,46036
8,207,53,C,17420
9,652,12,A,43160
10,387,83,D,31960
11,9,26,C,2345
12,315,35,C,23450
13,873,94,D,65756
14,154,56,D,14280
15,767,73,A,54600
16,1,19,C,1340
17,104,63,A,10855
18,235,17,D,17136
19,556,99,C,43885
20,258,29,B,18942
21,677,97,A,50310
22,912,89,B,66066
23,374,73,C,29949
24,372,83,B,30030
25,146,55,D,13668
26,884,44,C,62176
27,463,67,B,34980
28,919,45,A,62660
29,641,18,B,43494
30,96,16,D,7616
31,848,68,A,59540
32,47,46,D,6324
33,691,12,B,46398
34,596,62,B,43428
35,541,46,A,38155
36,845,15,D,58480
37,838,58,A,58240
38,247,81,D,22304
39,510,50,A,36400
40,140,19,C,10653
41,305,66,C,24857
42,555,83,D,43384
43,127,78,D,13940
44,79,51,B,8580
45,306,17,A,20995
46,761,51,B,53592
47,78,72,C,10050
48,154,14,C,11256
49,168,66,C,15678
50,403,100,D,34204
51,36,90,C,8442
52,213,73,B,18876
53,958,19,C,65459
54,65,32,B,6402
55,606,96,D,47736
56,436,27,A,30095
57,659,23,D,46376
58,672,90,C,51054
59,779,27,D,54808
60,153,69,C,14874
61,912,85,C,66799
62,722,74,C,53332
63,230,95,A,21125
64,695,94,C,52863
65,836,79,D,62220
66,874,26,D,61200
67,990,83,A,69745
68,469,73,D,36856
69,487,26,B,33858
70,261,27,B,19008
71,65,69,C,8978
72,310,12,A,20930
73,475,23,D,33864
74,444,26,C,31490
75,295,61,D,24208
76,121,87,A,13520
77,278,63,C,22847
78,824,66,D,60520
79,888,76,A,62660
80,556,54,C,40870
81,136,81,D,14756
82,606,97,D,47804
83,405,38,A,28795
84,890,20,B,60060
85,320,64,B,25344
86,61,72,A,8645
87,919,98,B,67122
88,712,56,B,50688
89,6,18,D,1632
90,200,78,A,18070
91,831,28,D,58412
92,318,70,B,25608
93,883,58,B,62106
94,315,32,D,23596
95,199,74,D,18564
96,895,81,A,63440
97,414,63,C,31959
98,283,41,C,21708
99,447,81,C,35376
100,793,59,A,55380
101,315,72,B,25542
102,650,12,C,44354
103,395,74,C,31423
104,398,74,D,32096
105,764,25,B,52074
106,733,41,B,51084
107,983,35,B,67188
108,977,48,C,68675
109,422,98,B,34320
