RowNumber,variable1,variable2,variable3,result
1,867,89,B,63096
2,917,33,S,78850
3,461,66,L,40052
4,630,64,R,56908
5,591,47,D,43384
6,288,46,A,21710
7,702,60,O,60198
8,115,63,W,15486
9,159,81,P,19200
10,830,53,R,72406
11,350,53,U,34255
12,432,76,Q,41148
13,275,56,G,23501
14,33,29,F,4340
15,145,29,R,14268
16,224,21,N,19110
17,505,32,J,39738
18,466,50,X,45408
19,831,51,I,64386
20,895,91,K,73950
21,254,47,Y,26789
22,986,36,Z,91980
23,274,86,Z,32400
24,864,10,I,63802
25,444,87,V,45666
26,915,35,J,70300
27,565,39,P,48320
28,957,65,L,77672
29,89,68,I,11461
30,823,85,W,78996
31,696,64,V,65360
32,277,73,X,30800
33,332,19,Z,31590
34,578,76,X,57552
35,652,42,I,50662
36,446,13,G,32589
37,829,43,J,64528
38,634,66,L,53200
39,582,37,Y,55091
40,328,11,E,23391
41,438,66,C,33768
42,158,42,R,16400
43,349,66,S,34445
44,765,74,Y,74671
45,32,64,N,7488
46,457,53,X,44880
47,957,89,V,89956
48,446,52,E,34362
49,199,20,S,18177
50,117,43,E,11040
51,664,16,K,51000
52,110,83,F,13510
53,172,40,I,15476
54,637,56,Y,61677
55,960,88,C,70216
56,221,60,B,18546
57,202,36,O,18802
58,251,38,L,21964
59,853,53,U,77010
60,847,16,R,70766
61,264,32,H,21312
62,997,58,I,77015
63,898,29,W,80649
64,96,100,A,12740
65,332,86,G,29678
66,973,85,D,71944
67,82,44,B,8316
68,660,25,U,58225
69,919,56,O,77025
70,486,52,I,39274
71,895,98,I,72489
72,686,72,B,50028
73,175,46,E,15249
74,227,95,Z,28980
75,138,32,Y,15130
76,692,65,Y,67373
77,945,41,Y,87754
78,63,70,W,11571
79,713,75,O,62252
80,981,28,Y,89801
81,251,99,G,24850
82,76,58,O,10586
83,399,78,W,41499
84,85,53,S,11454
85,676,95,L,58596
86,138,81,R,17958
87,391,13,M,31108
88,96,79,M,13475
89,781,66,N,66066
90,732,84,H,58752
91,745,81,G,58646
92,516,12,J,39072
93,252,87,L,25764
94,651,12,R,54366
95,246,10,F,17920
96,497,55,O,43608
97,649,80,M,56133
98,438,40,B,31548
99,600,97,V,59942
100,361,68,A,27885
101,213,88,F,21070
102,564,13,S,47891
103,138,89,E,15663
104,289,53,Y,30438
105,773,63,G,59356
106,238,75,H,22536
107,796,14,X,71280
108,489,91,V,49880
109,411,66,V,41022
110,944,66,P,80800
111,732,38,L,58520
112,206,29,S,19505
113,43,70,A,7345
114,927,35,Y,85618
115,339,81,P,33600
116,80,17,L,7372
117,101,41,C,9514
118,955,98,L,80028
119,296,39,H,24120
120,700,98,I,58254
121,187,86,M,21021
122,714,98,A,52780
123,733,51,Z,70560
124,266,15,V,24166
125,714,34,A,48620
126,404,78,S,40006
127,800,91,T,74844
128,871,50,O,72759
129,874,54,D,63104
130,830,26,E,59064
131,145,16,Q,13041
132,373,26,A,25935
133,752,18,L,58520
134,653,31,H,49248
135,674,92,Q,62046
136,614,35,M,49973
137,930,93,Y,91047
138,158,53,P,16880
139,793,31,W,71688
140,945,86,X,90728
141,480,18,Z,44820
142,231,29,U,22100
143,616,55,K,50325
144,218,66,U,24140
145,234,82,E,21804
146,241,86,H,23544
147,264,77,C,22847
148,675,61,J,54464
149,91,55,G,10366
150,196,91,Y,25543
151,935,46,A,63765
152,378,38,A,27040
153,145,30,Y,15575
154,249,52,N,23478
155,390,83,H,34056
156,589,30,J,45806
157,282,57,G,24069
158,748,25,F,54110
159,177,72,V,21414
160,632,49,O,53799
161,360,68,B,28248
162,897,61,J,70892
163,377,45,Y,37558
164,616,27,R,52726
165,619,89,U,60180
166,814,83,X,78936
167,856,33,N,69342
