RowNumber,variable1,variable2,variable3,result
1,552,96,A,42120
2,552,96,B,42768
3,552,96,C,43416
4,552,96,D,44064
5,552,96,E,44712
6,552,96,F,45360
7,552,96,G,46008
8,552,96,H,46656
9,552,96,I,47304
10,552,96,J,47952
11,552,96,K,48600
12,552,96,L,49248
13,552,96,M,49896
14,552,96,N,50544
15,552,96,O,51192
16,552,96,P,51840
17,552,96,Q,52488
18,552,96,R,53136
19,552,96,S,53784
20,552,96,T,54432
21,552,96,U,55080
22,552,96,V,55728
23,552,96,W,56376
24,552,96,X,57024
25,552,96,Y,57672
26,552,96,Z,58320
